country,year,ovi_gas,ovi_oil
ITA,2022,1.067812768779358,0.2187926166721821
ITA,2023,1.188184525430248,0.2236143810085014
Lithuania,2001,3.6585579313662704,4.534248734604869
Lithuania,2002,3.618607773343149,4.628356317260148
Lithuania,2003,3.3359496713519823,4.850621606866581
Lithuania,2004,3.3443307406165776,4.495572096762561
Lithuania,2005,3.1708289843207123,4.1451311521308245
Lithuania,2006,3.1997662706310743,4.158389108710167
Lithuania,2007,2.7156136756211655,4.02972644797459
Lithuania,2008,3.0253568225207905,3.792921778805677
Lithuania,2009,3.6000303957022246,4.400545920159115
Lithuania,2010,3.15161569472872,4.339306586643231
Lithuania,2011,2.88871057498307,4.478699536090527
Lithuania,2012,2.958460960283261,4.425480013916017
Lithuania,2013,3.6286390275660554,4.53953842853072
Lithuania,2014,3.803121549205352,4.599608627768391
Lithuania,2015,3.799872283688297,4.214034375640312
Lithuania,2016,4.264507800444939,3.880360641941827
Lithuania,2017,4.098011293534079,3.747963020374583
Lithuania,2018,4.0800701482610116,3.526002679448318
Lithuania,2019,4.23427883750642,3.5239864422791176
Lithuania,2020,3.869545398316616,3.730473622190541
Lithuania,2021,4.099302391543967,3.6521971249661793
Lithuania,2022,5.6825322169838905,3.628527062507343
Lithuania,2023,5.8344719304666866,3.529253936923842
NLD,2001,1.7790767186981071,0.361093173999036
NLD,2002,1.7972220358317117,0.3562967260012132
NLD,2003,1.7848860455817672,0.3551661670029774
NLD,2004,1.7432960166623277,0.3410940341510942
NLD,2005,1.7946931117662823,0.3230840836872298
NLD,2006,1.8689554113460336,0.3256977258300699
NLD,2007,1.9172512526843235,0.3095208108884553
NLD,2008,1.842090784044016,0.3267340128436797
NLD,2009,1.7989119484182954,0.33854962980335
NLD,2010,1.591160220994475,0.3158496777745013
NLD,2011,1.8178362970001356,0.3167964632861381
NLD,2012,1.8939329656342807,0.3232053116632143
NLD,2013,1.9021376322704355,0.3358048480925106
NLD,2014,2.167340993688299,0.3389317343386149
NLD,2015,2.2019072673462676,0.346625346426913
NLD,2016,2.115806935776918,0.3407043645388936
NLD,2017,2.049273144605968,0.337714947881508
NLD,2018,2.0902138286249414,0.3435349304041664
NLD,2019,2.0008964589870017,0.3539627690960903
NLD,2020,2.059198892903821,0.3694770745484331
NLD,2021,2.134353334927086,0.3695776128226499
NLD,2022,2.701634052854549,0.3760893776698998
NLD,2023,2.8716629141202956,0.3727774268697816
NOR,2001,28.292101518788225,10.55214010269511
NOR,2002,26.50961274699668,10.594244628976492
NOR,2003,24.604362371826134,9.964890876399336
NOR,2004,23.267755110214143,10.594529050857856
NOR,2005,25.27980505639467,10.37942087577598
NOR,2006,25.580104774823972,10.080619512444205
NOR,2007,26.68025619362513,9.67636993475449
NOR,2008,26.44236026069455,10.343823165012775
NOR,2009,27.96471769016726,10.360645827810226
NOR,2010,27.53492543314947,9.847227367084049
NOR,2011,27.603213599952436,10.11424489169412
NOR,2012,27.862106866645192,10.132517454911344
NOR,2013,28.12384619328248,9.95361866968913
NOR,2014,26.168259652831395,10.184130651291492
NOR,2015,24.633739465960947,9.9489148406684
NOR,2016,25.556555682524532,10.068911516050802
NOR,2017,24.44676251926255,9.785836597915784
NOR,2018,25.329888321129054,9.54055198497448
NOR,2019,24.5354897969054,9.871400497795603
NOR,2020,25.495284431494415,10.661570382849666
NOR,2021,26.63466325723303,10.375954017033424
NOR,2022,28.6226369140783,10.306384480059435
NOR,2023,29.426907066952836,9.869288961510952
POL,2001,2.3394148562621315,4.101270008356582
POL,2002,2.400343489221325,4.0034764458027885
POL,2003,2.1557439481375287,3.900979536598258
POL,2004,2.0432652293172953,3.663464393265326
POL,2005,1.9841552914966023,3.560761564309704
POL,2006,1.9618736894406483,3.3189741543968108
POL,2007,1.9613462988758448,3.2231989798068095
POL,2008,1.8046951991491036,3.111349395236426
POL,2009,1.870315708891228,3.109424844403808
POL,2010,1.7392119786096256,2.965381819609623
POL,2011,1.715967320117982,3.002511302929069
POL,2012,1.6207253423314096,3.1270439898200086
POL,2013,1.621557975350006,3.31978574555994
POL,2014,1.6593772959558524,3.3214744383380266
POL,2015,1.6511094829560866,3.1601873110866614
POL,2016,1.5463140182024544,2.9254875802488396
POL,2017,1.4719243669731148,2.5833254230902907
POL,2018,1.4168383662931558,2.4965359368270774
POL,2019,1.3515391039314038,2.433858668345946
POL,2020,1.340259123726634,2.574057757020878
POL,2021,1.2618327235345896,2.4598439598152484
