country,year,ovi_gas,lng_capacity_bcm,pipeline_capacity_bcm,total_capacity_bcm,gas_consumption_bcm
GBR,2023,2.480613733470027,48.57920000000001,109.23659983408,157.81579983408,63.619659
GBR,2024,2.5512927823810427,48.57920000000001,109.23659983408,157.81579983408,61.85718899999999
GRC,2000,3.5384368673532762,6.936,0.0,6.936,1.9601875800000002
GRC,2001,3.5854655338518575,6.936,0.0,6.936,1.9344768300000001
GRC,2002,3.3337917296961668,6.936,0.0,6.936,2.0805138899999998
GRC,2003,2.9489552554330323,6.936,0.0,6.936,2.35201941
GRC,2004,2.6826812526552684,6.936,0.0,6.936,2.5854730200000002
GRC,2005,2.6643618553730914,6.936,0.0,6.936,2.60325
GRC,2006,2.2597986511582446,6.936,0.0,6.936,3.0693
GRC,2007,4.6146153139952855,6.936,11.0,17.936,3.8867811896700006
GRC,2008,3.983141774722589,6.936,11.0,17.936,4.502978054615989
GRC,2009,4.743378081930706,6.936,11.0,17.936,3.7812714251737396
GRC,2010,4.32823067034991,6.936,11.0,17.936,4.1439565878197495
GRC,2011,3.5099894882859033,6.936,11.0,17.936,5.109986813310661
GRC,2012,3.81904324599004,6.936,11.0,17.936,4.69646423062442
GRC,2013,4.326917747153622,6.936,11.0,17.936,4.14521399483474
GRC,2014,5.675412476634112,6.936,11.0,17.936,3.1602989340146097
GRC,2015,5.255734592201323,6.936,11.0,17.936,3.4126533
GRC,2016,4.037820801440793,6.936,11.0,17.936,4.441999999999999
GRC,2017,3.348142617136458,6.936,11.0,17.936,5.356999999999998
GRC,2018,3.4195725534308212,6.936,11.0,17.936,5.2451
GRC,2019,3.114808189917163,6.936,11.0,17.936,5.7583
GRC,2020,2.8278356399365565,6.936,11.0,17.936,6.34266
GRC,2021,2.569513388373869,6.936,11.0,17.936,6.98031
GRC,2022,2.89444381687027,6.936,11.0,17.936,6.196699999999999
GRC,2023,3.3324662777302967,6.936,11.0,17.936,5.382199999999999
GRC,2024,2.6894990178290277,6.936,11.0,17.936,6.668899999999999
Hungary,2010,0.3942037449355768,0.0,4.5,4.5,11.415416666666669
Hungary,2011,0.412332299108904,0.0,4.5,4.5,10.91352777777778
Hungary,2012,0.4620136379581278,0.0,4.5,4.5,9.739972222222224
Hungary,2013,0.49558713308961855,0.0,4.5,4.5,9.080138888888891
Hungary,2014,0.5542137349216232,0.0,4.5,4.5,8.119611111111112
Hungary,2015,1.0332159804071634,0.0,9.0,9.0,8.710666666666668
Hungary,2016,0.9639873372527551,0.0,9.0,9.0,9.336222222222222
Hungary,2017,0.9059667979945695,0.0,9.0,9.0,9.934138888888892
Hungary,2018,0.9353159722522927,0.0,9.0,9.0,9.622416666666668
Hungary,2019,0.9142624949207638,0.0,9.0,9.0,9.844000000000001
Hungary,2020,0.8829612995882238,0.0,9.0,9.0,10.192972222222224
Hungary,2021,1.3875527270036256,0.0,15.0,15.0,10.810400000000003
Hungary,2022,1.6320357742241707,0.0,15.0,15.0,9.190975000000002
Hungary,2023,1.8259670778135868,0.0,15.0,15.0,8.214825000000001
Hungary,2024,1.8210574948319063,0.0,15.0,15.0,8.236972222222223
IDN,2008,0.252566883586736,0.0,10.025563040000002,10.025563040000002,39.69468561208676
IDN,2009,0.2442697671544016,0.0,10.283953840000002,10.283953840000002,42.1008050230775
IDN,2010,0.23347371640257317,0.0,10.283953840000002,10.283953840000002,44.047587019464004
