typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,558,NIC,Nicaragua,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7,FALSE,-1,N/A,,FALSE,7,FALSE,,FALSE,4,,4,0,FALSE,FALSE
C,A,20010101,2001,52,2001,562,NER,Niger,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,170,FALSE,-1,N/A,,FALSE,170,FALSE,,FALSE,129,,129,0,FALSE,FALSE
C,A,20010101,2001,52,2001,566,NGA,Nigeria,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,549276,FALSE,-1,N/A,,FALSE,549276,FALSE,,FALSE,922222,,922222,0,FALSE,FALSE
C,A,20010101,2001,52,2001,591,PAN,Panama,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,109,FALSE,-1,N/A,,FALSE,109,FALSE,,FALSE,276,,276,0,FALSE,FALSE
C,A,20010101,2001,52,2001,598,PNG,Papua New Guinea,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,321090,FALSE,-1,N/A,,FALSE,321090,FALSE,,FALSE,142827,,142827,0,TRUE,FALSE
C,A,20010101,2001,52,2001,604,PER,Peru,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,468570,FALSE,-1,N/A,,FALSE,468570,FALSE,,FALSE,159720,,159720,0,FALSE,FALSE
C,A,20010101,2001,52,2001,608,PHL,Philippines,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,340,FALSE,-1,N/A,,FALSE,340,FALSE,,FALSE,6505,,6505,0,FALSE,FALSE
C,A,20010101,2001,52,2001,620,PRT,Portugal,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,401674013,TRUE,-1,N/A,,FALSE,401674013,TRUE,,FALSE,67219561,,67219561,6,FALSE,FALSE
C,A,20010101,2001,52,2001,643,RUS,Russian Federation,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36,FALSE,-1,N/A,,FALSE,36,FALSE,,FALSE,7435,,7435,0,FALSE,FALSE
C,A,20010101,2001,52,2001,646,RWA,Rwanda,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1200,FALSE,-1,N/A,,FALSE,1200,FALSE,,FALSE,2844,,2844,0,FALSE,FALSE
C,A,20010101,2001,52,2001,678,STP,Sao Tome and Principe,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75,FALSE,-1,N/A,,FALSE,75,FALSE,,FALSE,85,,85,0,FALSE,FALSE
C,A,20010101,2001,52,2001,699,IND,India,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3500000,FALSE,-1,N/A,,FALSE,3500000,FALSE,,FALSE,1056148,,1056148,0,FALSE,FALSE
C,A,20010101,2001,52,2001,702,SGP,Singapore,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,148590,FALSE,-1,N/A,,FALSE,148590,FALSE,,FALSE,550027,,550027,0,FALSE,FALSE
C,A,20010101,2001,52,2001,704,VNM,Viet Nam,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,68028606,TRUE,-1,N/A,,FALSE,68028606,TRUE,,FALSE,18107230,,18107230,6,FALSE,FALSE
C,A,20010101,2001,52,2001,716,ZWE,Zimbabwe,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23467.593,TRUE,-1,N/A,0,FALSE,23467.593,TRUE,0,FALSE,9113.68,,9113.68,6,FALSE,TRUE
