year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2004,JPN,Japan,POL,Poland,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",149899.0
2004,JPN,Japan,PRK,Dem. People's Rep. of Korea,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",10586135.0
2004,JPN,Japan,PRK,Dem. People's Rep. of Korea,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",27454.0
2004,JPN,Japan,PRK,Dem. People's Rep. of Korea,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",360406.0
2004,JPN,Japan,PRT,Portugal,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",12394.0
2004,JPN,Japan,PRY,Paraguay,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",28811.0
2004,JPN,Japan,QAT,Qatar,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,5228462572.0
2004,JPN,Japan,QAT,Qatar,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",308099435.0
2004,JPN,Japan,QAT,Qatar,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",137431.0
2004,JPN,Japan,QAT,Qatar,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,2292274033.0
