country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
MKD,North Macedonia,Other,31,31,4040311.15,241756879.19,245797190.34
AND,Andorra,Other,4,13,2852942.59,46390816.00,49243758.59
PER,Peru,Latin_America,40,44,379904738.00,943347205.00,1323251943.00
PNG,Papua New Guinea,Other,5,46,479938980.00,292228003.94,772166983.94
ARE,United Arab Emirates,Middle_East,115,69,23885725866.96,446367658.93,24332093525.89
ARG,Argentina,Latin_America,45,57,4852538603.92,573239888.99,5425778492.91
ARM,Armenia,Other,3,31,1929134.00,174009964.00,175939098.00
AUS,Australia,Asia_Pacific,114,55,13986770163.80,5279368502.30,19266138666.10
BDI,Burundi,Other,2,15,141687.00,17282389.00,17424076.00
BEL,Belgium,Europe,163,83,5226391764.03,14525128542.42,19751520306.44
