country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
MYS,Malaysia,Asia_Pacific,86,64,22233738264.51,11503543009.66,33737281274.17
SVN,Slovenia,Other,46,55,15987713.84,1929710350.52,1945698064.36
UGA,Uganda,Other,14,49,588773.00,526191473.65,526780246.65
VUT,Vanuatu,Other,2,21,684.00,20555241.75,20555925.75
YEM,Yemen,Other,32,41,7227854807.90,1371226550.80,8599081358.70
ZWE,Zimbabwe,Other,9,36,6724288.45,490477722.43,497202010.88
AIA,Anguilla,Other,0,9,0.00,23360681.00,23360681.00
ARM,Armenia,Other,7,41,102473.88,348442394.08,348544867.96
AUS,Australia,Asia_Pacific,108,61,31889512874.69,16914007381.17,48803520255.86
AZE,Azerbaijan,Former_USSR,49,43,8932765569.90,554523559.50,9487289129.40
BDI,Burundi,Other,3,13,3570007.00,2297938.00,5867945.00
BEL,Belgium,Europe,167,88,27341269873.90,45284679668.45,72625949542.35
BEN,Benin,Other,10,37,224237135.95,159947480.84,384184616.79
BGD,Bangladesh,Other,23,53,56622451.00,1946452599.00,2003075050.00
BGR,Bulgaria,Other,99,60,1644818527.53,1167366482.32,2812185009.85
BHR,Bahrain,Middle_East,43,43,2755555583.13,24975145.71,2780530728.84
BHS,Bahamas,Other,15,45,239773792.00,2587923312.29,2827697104.29
BRN,Brunei Darussalam,Other,15,31,7476035289.30,32115177.39,7508150466.68
BTN,Bhutan,Other,2,7,2675598.00,57087929.00,59763527.00
CAF,Central African Rep.,Other,4,19,610035.00,45704204.87,46314239.87
CIV,C_e d'Ivoire,Other,65,51,2498366890.43,1868667128.96,4367034019.40
CMR,Cameroon,Other,40,44,2979379715.24,934094424.59,3913474139.82
COG,Congo,Other,22,24,7744602109.29,60227528.17,7804829637.45
COM,Comoros,Other,1,17,2219.59,9599431.18,9601650.77
CYP,Cyprus,Other,21,61,81456238.34,1570857970.48,1652314208.82
DJI,Djibouti,Other,3,16,637979.49,176773597.14,177411576.64
DZA,Algeria,Africa,69,50,48387671525.25,157497238.55,48545168763.80
EGY,Egypt,Africa,86,58,9092866424.20,3329422132.49,12422288556.69
ERI,Eritrea,Other,1,5,49.00,1405943.75,1405992.75
EST,Estonia,Other,77,40,2379015458.64,2540283514.18,4919298972.82
